2020-05-13 14:55:46,836 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7cd62f43: startup date [Wed May 13 14:55:46 GFT 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-05-13 14:55:49,130 | INFO  | PListStore:[C:\Estudos\Alura\FormacaoJava\java-jms\apache-activemq-5.12.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2020-05-13 14:55:49,188 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Estudos\Alura\FormacaoJava\java-jms\apache-activemq-5.12.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2020-05-13 14:55:49,614 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:ZAPHODBEEBLEBROX-55873-1589392549445-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2020-05-13 14:55:49,674 | INFO  | Listening for connections at: tcp://ZAPHODBEEBLEBROX:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-05-13 14:55:49,683 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2020-05-13 14:55:49,693 | INFO  | Listening for connections at: amqp://ZAPHODBEEBLEBROX:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-05-13 14:55:49,702 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2020-05-13 14:55:49,718 | INFO  | Listening for connections at: stomp://ZAPHODBEEBLEBROX:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-05-13 14:55:49,722 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2020-05-13 14:55:49,750 | INFO  | Listening for connections at: mqtt://ZAPHODBEEBLEBROX:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-05-13 14:55:49,759 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2020-05-13 14:55:50,081 | INFO  | Listening for connections at ws://ZAPHODBEEBLEBROX:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2020-05-13 14:55:50,083 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2020-05-13 14:55:50,089 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:ZAPHODBEEBLEBROX-55873-1589392549445-0:1) started | org.apache.activemq.broker.BrokerService | main
2020-05-13 14:55:50,092 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2020-05-13 14:55:51,548 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2020-05-13 14:55:51,560 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2020-05-13 14:55:51,777 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2020-05-13 14:55:54,446 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2020-05-13 14:57:26,993 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | qtp1839962989-49
2020-05-13 14:58:13,403 | WARN  | Transport Connection to: tcp://127.0.0.1:55880 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55880@61616
2020-05-13 15:49:12,967 | WARN  | Transport Connection to: tcp://127.0.0.1:55958 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55958@61616
2020-05-13 16:49:36,365 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6a41eaa2: startup date [Wed May 13 16:49:36 GFT 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-05-13 16:49:37,777 | INFO  | PListStore:[C:\Estudos\Alura\FormacaoJava\java-jms\apache-activemq-5.12.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2020-05-13 16:49:37,876 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Estudos\Alura\FormacaoJava\java-jms\apache-activemq-5.12.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2020-05-13 16:49:38,934 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-05-13 16:49:39,012 | INFO  | Recovering from the journal @1:503 | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-05-13 16:49:39,134 | INFO  | Recovery replayed 637 operations from the journal in 0.18 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-05-13 16:49:39,455 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:ZAPHODBEEBLEBROX-58237-1589399379227-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2020-05-13 16:49:39,914 | INFO  | Listening for connections at: tcp://ZAPHODBEEBLEBROX:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-05-13 16:49:39,972 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2020-05-13 16:49:39,990 | INFO  | Listening for connections at: amqp://ZAPHODBEEBLEBROX:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-05-13 16:49:40,021 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2020-05-13 16:49:40,032 | INFO  | Listening for connections at: stomp://ZAPHODBEEBLEBROX:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-05-13 16:49:40,037 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2020-05-13 16:49:40,072 | INFO  | Listening for connections at: mqtt://ZAPHODBEEBLEBROX:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-05-13 16:49:40,081 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2020-05-13 16:49:40,729 | INFO  | Listening for connections at ws://ZAPHODBEEBLEBROX:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2020-05-13 16:49:41,011 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2020-05-13 16:49:41,024 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:ZAPHODBEEBLEBROX-58237-1589399379227-0:1) started | org.apache.activemq.broker.BrokerService | main
2020-05-13 16:49:41,031 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2020-05-13 16:49:41,953 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2020-05-13 16:49:41,956 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2020-05-13 16:49:42,077 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2020-05-13 16:49:44,794 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2020-05-13 17:12:22,898 | WARN  | Transport Connection to: tcp://127.0.0.1:58366 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:58366@61616
2020-05-13 17:12:50,174 | WARN  | Transport Connection to: tcp://127.0.0.1:58438 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:58438@61616
2020-05-13 17:13:49,128 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | qtp323823279-48
2020-05-13 17:14:58,840 | WARN  | Transport Connection to: tcp://127.0.0.1:58460 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:58460@61616
2020-05-14 08:58:11,725 | WARN  | Stealing link for clientId AvastHNS From Connection Transport Connection to: tcp://192.168.1.11:62206 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///192.168.1.11:62207@1883
